,{U+0300},COMMENT
A,À,
a,à,
E,È,
e,è,
I,Ì,
i,ì,
O,Ò,
o,ò,
U,Ù,
u,ù,
Y,Ỳ,
y,ỳ,
N,Ǹ,
n,ǹ,
W,Ẁ,
w,ẁ,
Ü,Ǜ,
ü,ǜ,
Ē,Ḕ,
ē,ḕ,
Ō,Ṑ,
ō,ṑ,
Â,Ầ,
â,ầ,
Ê,Ề,
ê,ề,
Ô,Ồ,
ô,ồ,
Ă,Ằ,
ă,ằ,
À,Ȁ,
à,ȁ,
È,Ȅ,
è,ȅ,
Ì,Ȉ,
ì,ȉ,
ı,i̇̀,i + Dot Above + Grave
Ò,Ȍ,
ò,ȍ,
Ù,Ȕ,
ù,ȕ,
R{U+0300},Ȑ,
R{U+0300},ȑ,
{U+0300},{U+030f},Grave + Grave = Double Grave (Extra-Low Tone)
{U+0301},{U+0302},Acute + Grave = Circumflex (Falling Tone)
{U+030c},{U+1dc8},Caron + Grave = Peaking Tone
{U+0304},{U+1dc6},Macron + Grave = Mid-to-Low Falling Tone
 ,`,
